Genomic Locus,CoGe,TAIR
AT1G05675,1,0
AT3G07020,0,1
AT3G22250,0,1
AT3G02100,0,1
AT5G14860,0,1
AT4G14100,0,1
AT3G16520,0,1
AT3G21770,0,1
AT1G22370,0,1
AT3G29630,1,0
AT5G38035,0,1
AT1G43620,0,1
AT2G16890,0,1
AT3G21800,0,1
AT1G05670,0,1
AT2G28080,0,1
AT5G59530,0,1
AT1G22360,0,1
AT5G38040,1,0
AT4G14090,1,0
AT4G34130,0,1
AT2G36750,1,0
AT5G59580,1,0
AT3G21790,1,0
AT1G78270,1,0
AT1G22400,0,1
AT4G15270,0,1
AT1G78280,0,1
AT5G59590,1,0
AT2G23210,0,1
AT5G59520,0,1
AT2G15490,0,1
PHV_1_7903801_7903810,1,0
PHV_2_11961721_11961727,1,0
AT3G11340,1,0
AT4G34131,1,0
AT2G15480,0,1
AT2G30140,0,1
